VCP,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.046996,-0.018644,-0.024476,-0.02324,-0.02324
-1.96,-0.046438,-0.018016,-0.023734,-0.022356,-0.0225
-1.92,-0.045858,-0.017578,-0.022968,-0.021392,-0.02177
-1.88,-0.045314,-0.017148,-0.02221,-0.020616,-0.02106
-1.84,-0.044768,-0.016726,-0.02146,-0.019918,-0.020344
-1.8,-0.044216,-0.016282,-0.02069,-0.019214,-0.01963
-1.76,-0.043664,-0.01566,-0.01994,-0.018374,-0.018906
-1.72,-0.04311,-0.015202,-0.019182,-0.017614,-0.018188
-1.68,-0.042554,-0.014754,-0.018426,-0.016846,-0.017486
-1.64,-0.04199,-0.014252,-0.01767,-0.016088,-0.016764
-1.6,-0.041442,-0.013728,-0.016922,-0.01534,-0.016056
-1.56,-0.040884,-0.013238,-0.016168,-0.014638,-0.015358
-1.52,-0.040326,-0.012728,-0.015414,-0.013926,-0.014638
-1.48,-0.039772,-0.012204,-0.014674,-0.013186,-0.013932
-1.44,-0.039212,-0.011734,-0.013924,-0.01246,-0.013238
-1.4,-0.03864,-0.011276,-0.01319,-0.01176,-0.012538
-1.36,-0.038088,-0.01078,-0.012454,-0.011046,-0.011842
-1.32,-0.03752,-0.0103,-0.011722,-0.010342,-0.011158
-1.28,-0.036974,-0.00982,-0.010998,-0.009661,-0.010472
-1.24,-0.036388,-0.0093314,-0.010278,-0.0089626,-0.0098334
-1.2,-0.035838,-0.0088544,-0.0095788,-0.0082832,-0.009149
-1.16,-0.035266,-0.0083778,-0.0088758,-0.0076042,-0.0084936
-1.12,-0.034706,-0.007907,-0.0081814,-0.0069398,-0.0078514
-1.08,-0.034144,-0.0074632,-0.007504,-0.0062902,-0.007225
-1.04,-0.033592,-0.0070342,-0.0068412,-0.0056594,-0.006619
-1.0,-0.033014,-0.0066468,-0.0061946,-0.0050456,-0.0060334
-0.96,-0.032456,-0.0063066,-0.005572,-0.004457,-0.0054714
-0.92,-0.03188,-0.0060334,-0.004973,-0.0038976,-0.00494
-0.88,-0.031318,-0.0058192,-0.004402,-0.0033756,-0.0044326
-0.84,-0.030742,-0.0056508,-0.0038586,-0.0028948,-0.0039542
-0.8,-0.030176,-0.0055024,-0.0033472,-0.0024568,-0.0035122
-0.76,-0.029604,-0.0053788,-0.0028704,-0.0020618,-0.0031096
-0.72,-0.029036,-0.0052734,-0.002437,-0.0017178,-0.00275
-0.68,-0.028456,-0.0051566,-0.0020524,-0.0014186,-0.0024188
-0.64,-0.02789,-0.0050578,-0.0017184,-0.0011538,-0.0021096
-0.6,-0.027314,-0.0049592,-0.001411,-0.00093598,-0.0018376
-0.56,-0.026748,-0.0048578,-0.0011402,-0.00076568,-0.0016098
-0.52,-0.026162,-0.0047588,-0.0009192,-0.00063152,-0.0014176
-0.48,-0.025598,-0.0046588,-0.00074864,-0.00051994,-0.0012544
-0.44,-0.025016,-0.0045594,-0.00061432,-0.00042074,-0.0011078
-0.4,-0.024446,-0.0044596,-0.00050222,-0.0003292,-0.0009757
-0.36,-0.023872,-0.0043636,-0.00040298,-0.0002445,-0.0008435
-0.32,-0.023298,-0.0042642,-0.00031154,-0.00016706,-0.00071882
-0.28,-0.022716,-0.0041658,-0.00022786,-9.886e-05,-0.00060148
-0.24,-0.022142,-0.004067,-0.00015294,-4.4886e-05,-0.0004929
-0.2,-0.021564,-0.0039672,-9.0858e-05,-8.3371e-06,-0.00039582
-0.16,-0.020988,-0.0038672,-4.515e-05,9.928e-06,-0.000314
-0.12,-0.02041,-0.0037652,-1.9194e-05,1.813e-05,-0.00024858
-0.08,-0.019834,-0.0036644,-8.177700000000001e-06,1.9424e-05,-0.00019576
-0.04,-0.01925,-0.0035606,-4.7397000000000005e-06,2.0118e-05,-0.00014982
0.0,-0.018676,-0.0034596,-3.5356000000000005e-06,2.0714e-05,-0.00010622
0.04,-0.018096,-0.0033514,-2.9195e-06,2.0566e-05,-6.6052e-05
0.08,-0.01752,-0.0032398,-2.4744000000000004e-06,2.0932e-05,-2.5014e-05
0.12,-0.016936,-0.0031254,-2.0107e-06,2.103e-05,1.384e-05
0.16,-0.016358,-0.0030146,-1.4606e-06,2.1072e-05,5.0724e-05
0.2,-0.015778,-0.0029068,-7.0522e-07,2.1114e-05,8.5364e-05
0.24,-0.015198,-0.0028008,1.11946e-06,2.1884e-05,0.00011428
0.28,-0.014616,-0.0026976,1.2048e-05,2.1464e-05,0.0001455
0.32,-0.014036,-0.0025918,2.4778e-05,2.1254e-05,0.00017286
0.36,-0.013454,-0.0024854,3.0374e-05,2.184e-05,0.00019684
0.4,-0.012872,-0.0023748,3.3182e-05,2.1502e-05,0.0002182
0.44,-0.01229,-0.0022678,3.6992e-05,2.1602e-05,0.00023686
0.48,-0.011706,-0.0021478,3.6474e-05,2.2138e-05,0.00025432
0.52,-0.011124,-0.0020186,3.7452e-05,2.1744e-05,0.00027082
0.56,-0.010544,-0.0018774,3.871e-05,2.1872e-05,0.00028554
0.6,-0.0099682,-0.0017196,3.9966e-05,2.2436e-05,0.00029972
0.64,-0.0093848,-0.0015486,4.3952e-05,2.2306e-05,0.00031608
0.68,-0.0088018,-0.0013668,4.5882e-05,2.243e-05,0.00033468
0.72,-0.008219,-0.001174,5.009e-05,2.2782e-05,0.00035434
0.76,-0.0076378,-0.00099058,5.4262e-05,2.2734e-05,0.00037396
0.8,-0.007053,-0.00078312,5.7858e-05,2.2996e-05,0.00039364
0.84,-0.006471,-0.0005776,6.0910000000000005e-05,2.3206e-05,0.00041312
0.88,-0.0058862,-0.00037238,6.3546e-05,2.345e-05,0.00043416
0.92,-0.0053046,-0.00016178,6.532e-05,2.4172e-05,0.0004562
0.96,-0.0047194,4.0052e-05,6.7582e-05,2.6276e-05,0.00047962
1.0,-0.0041398,0.00023714,7.024e-05,3.2162e-05,0.00050486
1.04,-0.003553,0.00046122,7.3388e-05,4.6312e-05,0.00053174
1.08,-0.0029704,0.0006814,8.400000000000002e-05,7.5224e-05,0.00056114
1.12,-0.0023856,0.00090096,0.00010596,0.00012416,0.00059516
1.16,-0.0018054,0.0011237,0.00014846,0.00019846,0.00063828
1.2,-0.0012192,0.0013308,0.00021852,0.0002959,0.00069646
1.24,-0.00063644,0.0015628,0.00031856,0.0004115,0.0007765
1.28,-4.7976e-05,0.0017914,0.00044352,0.0005362,0.00088154
1.32,0.00052782,0.0020184,0.0005867,0.00066382,0.001011
1.36,0.00111136,0.002248,0.00074124,0.00078868,0.0011618
1.4,0.0016946,0.0024776,0.00089906,0.0009095,0.0013284
1.44,0.0022758,0.002706,0.00105282,0.00102818,0.0015052
1.48,0.0028572,0.0029378,0.0011968,0.00114128,0.001688
1.52,0.0034454,0.0031684,0.0013296,0.0012532,0.001871
1.56,0.0040254,0.0033998,0.0014524,0.0013628,0.0020492
1.6,0.0046116,0.0036334,0.0015672,0.0014716,0.0022212
1.64,0.0051924,0.0038636,0.001677,0.0015794,0.0023856
1.68,0.0057754,0.0040986,0.0017834,0.001686,0.0025436
1.72,0.0063516,0.0043332,0.0018868,0.0017918,0.0026964
1.76,0.006934,0.0045652,0.0019884,0.0018978,0.0028458
1.8,0.0075142,0.0047992,0.0020892,0.0020032,0.0029924
1.84,0.0081032,0.0050334,0.0021892,0.002109,0.0031368
1.88,0.0086812,0.0052674,0.0022894,0.0022154,0.0032804
1.92,0.0092612,0.0055002,0.0023896,0.0023214,0.003423
1.96,0.0098404,0.0057344,0.002489,0.0024272,0.0035654
2.0,0.0104236,0.005966,0.002589,0.0025332,0.0037066
