VDD1,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.038774,-0.016038,5.89862e-08,-0.082484,-0.094124
-1.96,-0.037888,-0.015594,-5.572379999999999e-08,-0.081624,-0.091798
-1.92,-0.03696,-0.015244,5.435779999999999e-08,-0.078956,-0.088488
-1.88,-0.035994,-0.014728,-4.95428e-08,-0.075758,-0.08573
-1.84,-0.034996,-0.014238,5.3927e-08,-0.071832,-0.08285
-1.8,-0.034016,-0.013728,-2.95386e-08,-0.068426,-0.079992
-1.76,-0.032986,-0.013182,3.65248e-08,-0.06728,-0.077024
-1.72,-0.031928,-0.01267,-2.95498e-08,-0.06473,-0.074026
-1.68,-0.03087,-0.012148,3.7552e-09,-0.062196,-0.070998
-1.64,-0.029794,-0.011638,-7.616799999999999e-09,-0.059572,-0.068
-1.6,-0.028706,-0.011136,7.284799999999998e-09,-0.056932,-0.064974
-1.56,-0.027648,-0.01064,6.9071999999999995e-09,-0.054296,-0.06193
-1.52,-0.026566,-0.01013,5.19016e-08,-0.051618,-0.058876
-1.48,-0.025498,-0.0096108,-4.80962e-08,-0.048932,-0.055828
-1.44,-0.024432,-0.0091262,4.63536e-08,-0.046246,-0.052754
-1.4,-0.023382,-0.0086434,-4.4492999999999993e-08,-0.043556,-0.0497
-1.36,-0.022354,-0.008161,4.71306e-08,-0.040888,-0.046684
-1.32,-0.021346,-0.0077012,-1.90372e-08,-0.0382,-0.043628
-1.28,-0.020378,-0.0072074,2.4135e-08,-0.035524,-0.040614
-1.24,-0.01945,-0.0067572,-1.82354e-08,-0.032858,-0.037602
-1.2,-0.018578,-0.0063138,-1.999e-09,-0.030204,-0.03464
-1.16,-0.017764,-0.0058734,-2.846e-09,-0.0276,-0.031688
-1.12,-0.017012,-0.0054586,6.26354e-08,-0.02501,-0.02878
-1.08,-0.016312,-0.0050284,-4.49576e-08,-0.02248,-0.025924
-1.04,-0.01565,-0.0046262,5.27794e-08,-0.020008,-0.023142
-1.0,-0.015024,-0.0041142,-4.71308e-08,-0.017596,-0.020426
-0.96,-0.014408,-0.0037362,2.9321e-08,-0.015278,-0.017798
-0.92,-0.013806,-0.003376,-3.0107399999999995e-08,-0.013074,-0.01528
-0.88,-0.013208,-0.0030194,2.75534e-08,-0.011004,-0.012896
-0.84,-0.012612,-0.0026728,-6.474399999999998e-09,-0.009101,-0.010656
-0.8,-0.012014,-0.0023328,8.384199999999998e-09,-0.0073634,-0.0086054
-0.76,-0.011418,-0.0020046,-8.2788e-09,-0.0058234,-0.0067534
-0.72,-0.01082,-0.0016824,3.72626e-08,-0.0044806,-0.0051314
-0.68,-0.010222,-0.0013736,-1.91484e-08,-0.003321,-0.0037476
-0.64,-0.0096376,-0.0010786,5.9631999999999994e-09,-0.002332,-0.002599
-0.6,-0.0090392,-0.00079964,4.1772e-09,-0.001504,-0.001664
-0.56,-0.0084382,-0.00054794,-1.7893999999999998e-08,-0.00084454,-0.00093854
-0.52,-0.0078406,-0.00033212,2.5572e-08,-0.0003865,-0.00043916
-0.48,-0.007239,-0.0001679,-4.59074e-08,-0.0001373,-0.00016652
-0.44,-0.0066374,-6.8598e-05,5.0804e-08,-4.0388e-05,-5.4166e-05
-0.4,-0.0060358,-2.226e-05,-5.59276e-08,-1.078e-05,-1.5896e-05
-0.36,-0.0054346,-6.967e-06,6.174819999999999e-08,-2.8276000000000003e-06,-4.4938e-06
-0.32,-0.0048308,-1.6994000000000002e-06,-5.86794e-08,-7.2774e-07,-1.1709e-06
-0.28,-0.0042284,-4.9846e-07,6.16282e-08,-1.9202e-07,-3.094e-07
-0.24,-0.0036242,-1.2592e-07,-4.65018e-08,-5.5447e-08,-8.431099999999998e-08
-0.2,-0.0030224,-2.96184e-08,3.96738e-08,-1.2937999999999998e-08,-2.14928e-08
-0.16,-0.002418,1.1116e-09,-1.8234e-08,1.34242e-08,6.983e-09
-0.12,-0.0018144,1.0079e-08,6.420599999999998e-09,4.16742e-08,4.29714e-08
-0.08,-0.001209,3.69258e-08,5.379799999999998e-09,6.06606e-08,6.47804e-08
-0.04,-0.00060566,1.0558e-07,-2.47186e-08,1.0256e-07,1.1242e-07
0.0,-1.4939000000000002e-06,2.8194e-07,5.034279999999999e-08,2.3432e-07,2.6308e-07
0.04,0.00060362,6.1746e-07,-5.576419999999999e-08,3.6344e-07,1.6758e-07
0.08,0.0012078,1.094e-06,6.454459999999999e-08,4.2848e-07,3.5356e-07
0.12,0.0018126,2.2566e-06,-5.90138e-08,4.6966e-07,4.7978e-07
0.16,0.0024164,3.2759000000000003e-06,6.372639999999999e-08,5.0384e-07,5.4046e-07
0.2,0.0030206,4.297500000000001e-06,-5.33648e-08,5.5124e-07,5.9418e-07
0.24,0.0036252,5.384200000000001e-06,5.1765599999999993e-08,5.6714e-07,6.3634e-07
0.28,0.0042288,6.575600000000001e-06,-3.3613799999999995e-08,6.945e-07,6.713e-07
0.32,0.0048328,6.063e-06,4.985e-09,2.9598e-07,8.5736e-07
0.36,0.0054356,6.5513e-06,6.0102e-09,6.7496e-07,2.6004e-07
0.4,0.0060396,7.2136e-06,-2.36686e-08,4.2102e-07,6.1544e-07
0.44,0.0066418,7.8876e-06,3.3542799999999994e-08,4.537e-07,3.4648e-07
0.48,0.007244,8.527500000000001e-06,-5.094099999999999e-08,4.9252e-07,7.2354e-07
0.52,0.007847,9.1473e-06,5.52876e-08,5.7522e-07,4.6122e-07
0.56,0.0084492,9.7158e-06,-5.726699999999999e-08,6.9858e-07,5.4606e-07
0.6,0.0090508,1.0666e-05,6.468899999999999e-08,9.4358e-07,6.9452e-07
0.64,0.0096502,1.5498e-05,-4.62068e-08,1.5904000000000005e-06,9.1716e-07
0.68,0.010251,1.9238e-05,4.26398e-08,3.1796000000000004e-06,1.1092e-06
0.72,0.0108498,2.2844e-05,-3.172e-08,6.843300000000001e-06,1.6972000000000002e-06
0.76,0.011454,2.7096e-05,2.2167999999999996e-09,1.4744e-05,2.0932e-06
0.8,0.012064,3.3058e-05,8.567799999999997e-09,3.1338000000000004e-05,2.5223000000000004e-06
0.84,0.01266,4.2206e-05,-2.69658e-08,6.1414e-05,3.2888e-06
0.88,0.013252,5.5132e-05,4.09398e-08,0.000108984,4.1409000000000005e-06
0.92,0.013852,7.2744e-05,-5.11802e-08,0.00017606,5.0922e-06
0.96,0.014456,9.5016e-05,5.65554e-08,0.00026534,6.2941e-06
1.0,0.015052,0.00011768,-5.76156e-08,0.0003742,8.4887e-06
1.04,0.015644,0.00015016,6.457659999999999e-08,0.0004979,1.6570000000000002e-05
1.08,0.016248,0.00018576,-4.13916e-08,0.00063648,2.0512e-05
1.12,0.016836,0.00022476,6.4401999999999985e-09,0.00078782,2.5274e-05
1.16,0.017426,0.00026734,3.8305999999999996e-09,0.00095064,4.0574e-05
1.2,0.018022,0.00031328,-1.7415599999999997e-08,0.00112272,5.0996e-05
1.24,0.018616,0.0003628,1.24478e-08,0.0013036,6.009e-05
1.28,0.0192,0.00041632,-3.3006799999999995e-08,0.0014912,7.0094e-05
1.32,0.01979,0.00047394,4.61912e-08,0.0016854,8.1282e-05
1.36,0.02037,0.00053638,-5.25266e-08,0.0018852,9.3682e-05
1.4,0.020966,0.00060396,5.883859999999999e-08,0.00209,0.000106896
1.44,0.021586,0.00067736,-5.587699999999999e-08,0.0022996,0.00012016
1.48,0.022202,0.00075726,6.445499999999999e-08,0.0025134,0.00013448
1.52,0.022812,0.0008443,-5.66374e-08,0.002732,0.00014936
1.56,0.023426,0.00093902,6.35928e-08,0.002961,0.00016492
1.6,0.024012,0.0010422,-5.06254e-08,0.003188,0.0001816
1.64,0.02462,0.0011638,4.9381e-08,0.003417,0.00019996
1.68,0.025212,0.0012878,-2.86776e-08,0.0036496,0.0002204
1.72,0.025818,0.0014194,2.7186e-08,0.0038846,0.00024326
1.76,0.026416,0.0015602,-4.925779999999999e-08,0.0041226,0.00026902
1.8,0.027024,0.0017082,5.27466e-08,0.004364,0.00029792
1.84,0.027648,0.0018656,-5.705759999999999e-08,0.004608,0.00033032
1.88,0.02831,0.0020336,6.336139999999999e-08,0.0048558,0.0003665
1.92,0.031286,0.0022112,-5.71854e-08,0.0051066,0.00040682
1.96,0.032924,0.0023984,5.99156e-08,0.0053592,0.00045182
2.0,0.033902,0.0025934,-4.51086e-08,0.0056144,0.00050146
