VDDQ,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-3.9784599999999993e-08,-0.003666,-0.0020064,-0.004289,-0.0018172
-1.96,2.90972e-08,-0.003384,-0.0017896,-0.003916,-0.0016312
-1.92,-1.1420599999999998e-08,-0.0031146,-0.001601,-0.0035652,-0.0014694
-1.88,-1.1063999999999996e-09,-0.0028596,-0.0014378,-0.003237,-0.001328
-1.84,1.2485999999999998e-08,-0.0026162,-0.0012942,-0.0029314,-0.0012026
-1.8,-2.75616e-08,-0.0023872,-0.0011682,-0.0026492,-0.0010892
-1.76,4.42632e-08,-0.0021732,-0.0010544,-0.0023902,-0.00098478
-1.72,-5.299339999999999e-08,-0.0019716,-0.00095034,-0.0021536,-0.0008861
-1.68,5.56794e-08,-0.0017832,-0.000851,-0.00194,-0.0007933
-1.64,-5.814799999999999e-08,-0.001609,-0.00075784,-0.0017498,-0.00070536
-1.6,5.95574e-08,-0.0014478,-0.00067004,-0.001581,-0.0006226
-1.56,-5.60352e-08,-0.0013,-0.00058762,-0.0014322,-0.00054464
-1.52,5.1615e-08,-0.0011656,-0.0005105,-0.0013002,-0.00047178
-1.48,-4.2595e-08,-0.0010442,-0.0004391,-0.001181,-0.00040396
-1.44,3.41958e-08,-0.00093624,-0.00037282,-0.0010716,-0.00034146
-1.4,-3.6744e-08,-0.00083944,-0.00031232,-0.00097028,-0.00028466
-1.36,3.97692e-08,-0.00075222,-0.0002578,-0.00087304,-0.00023376
-1.32,-4.19268e-08,-0.0006728,-0.00020968,-0.00078092,-0.00018934
-1.28,4.06124e-08,-0.00059846,-0.00016798,-0.00069322,-0.000151
-1.24,-2.02224e-08,-0.00052878,-0.00013248,-0.00060982,-0.0001185
-1.2,2.55566e-08,-0.00046288,-0.00010298,-0.0005305,-9.1754e-05
-1.16,-1.60422e-08,-0.0004007,-7.883e-05,-0.0004555,-6.972200000000001e-05
-1.12,-4.608e-10,-0.00034228,-5.9454e-05,-0.00038526,-5.2098e-05
-1.08,-2.3197999999999998e-09,-0.00028794,-4.42e-05,-0.00031974,-3.8366e-05
-1.04,-2.32754e-08,-0.00023754,-3.2312e-05,-0.00025942,-2.79e-05
-1.0,4.1998e-08,-0.00019158,-2.3256e-05,-0.00020552,-1.9884e-05
-0.96,-5.148839999999999e-08,-0.00015046,-1.6594e-05,-0.0001584,-1.3846e-05
-0.92,5.52134e-08,-0.00011408,-1.1622e-05,-0.00011808,-9.6981e-06
-0.88,-5.831159999999999e-08,-8.4594e-05,-7.9781e-06,-8.509400000000002e-05,-6.531500000000001e-06
-0.84,5.99658e-08,-5.8406e-05,-5.509300000000001e-06,-5.9026e-05,-4.3784e-06
-0.8,-5.584519999999999e-08,-3.8458e-05,-3.6269e-06,-3.9258e-05,-2.9983e-06
-0.76,3.0712e-08,-2.446e-05,-2.4026e-06,-2.5154e-05,-1.888e-06
-0.72,-8.504e-09,-1.4556e-05,-1.6856000000000002e-06,-1.5720000000000002e-05,-1.1818e-06
-0.68,-3.8355999999999995e-09,-9.8152e-06,-1.0371000000000002e-06,-9.4551e-06,-8.076e-07
-0.64,1.6005199999999998e-08,-5.1262e-06,-8.394799999999999e-07,-5.607900000000001e-06,-3.6116e-07
-0.6,-3.1479e-08,-2.4211000000000004e-06,-3.1916e-07,-3.3759e-06,-3.0248e-07
-0.56,5.6743599999999993e-08,-2.4963e-06,-3.6542e-07,-1.8849e-06,-3.2008e-07
-0.52,-5.79958e-08,-1.12288e-06,-1.3668e-07,-1.0818000000000002e-06,-3.694e-07
-0.48,5.88842e-08,-1.058e-06,-1.1398e-07,-6.6866e-07,-9.33e-08
-0.44,-5.31994e-08,-6.1632e-07,-3.4086e-07,-2.2068e-07,-3.1428e-07
-0.4,4.51736e-08,-2.397e-07,-9.756e-08,-4.6238e-07,-1.0264e-07
-0.36,-3.3900399999999994e-08,1.8982e-07,-3.1402e-07,-1.9894e-07,-1.216e-08
-0.32,2.2171e-08,5.9212e-07,-1.66e-07,-5.896e-08,-3.3194e-07
-0.28,-2.54884e-08,9.916000000000002e-07,-3.2618e-07,-1.389e-07,1.36e-09
-0.24,1.9407e-08,1.5857e-06,-2.7812e-07,-2.2098e-07,-3.971e-07
-0.2,-1.9518e-09,2.1039000000000003e-06,-1.7508e-07,-1.5582e-07,-1.4114e-07
-0.16,5.6013999999999985e-09,2.5646000000000004e-06,-2.5698e-07,-4.4456e-07,-3.1572e-07
-0.12,-2.0506e-09,2.9951000000000003e-06,-2.5632e-07,-4.5462e-07,-9.264e-08
-0.08,-1.6731e-08,3.4205000000000005e-06,-1.0076e-07,-7.046e-08,-1.6172e-07
-0.04,1.33766e-08,3.8661e-06,-2.3994e-07,-4.9816e-07,-1.0556e-07
0.0,-3.816539999999999e-08,4.3677000000000006e-06,-1.8354e-07,-4.2746e-07,-1.6046e-07
0.04,4.6487e-08,4.9628e-06,-5.882619999999999e-08,-5.852e-08,-2.6588e-07
0.08,-4.39706e-08,5.722900000000001e-06,-5.72e-08,-1.204e-08,-1.6202e-07
0.12,4.506339999999999e-08,6.6426000000000006e-06,-1.4754e-07,-1.1452e-07,-5.906e-08
0.16,-5.548099999999999e-08,7.5698e-06,-1.643e-07,-8.17e-08,-1.0992e-07
0.2,5.843679999999999e-08,7.4156e-06,2.49242e-08,-2.7814e-07,-1.9524e-07
0.24,-5.91144e-08,8.374800000000002e-06,1.4818e-07,-1.4044e-07,-1.1326e-07
0.28,5.601359999999999e-08,8.2731e-06,3.9326e-07,1.5746e-07,1.8034e-07
0.32,-4.582e-08,8.438800000000001e-06,8.075e-07,6.0182e-07,6.3232e-07
0.36,3.6908e-08,8.588500000000001e-06,1.2264e-06,1.05266e-06,1.1190000000000002e-06
0.4,-1.88138e-08,8.854e-06,1.7651000000000005e-06,1.4659000000000002e-06,1.6613e-06
0.44,5.459239999999999e-08,9.1632e-06,2.34e-06,2.0648e-06,2.1987e-06
0.48,-4.42e-08,9.5654e-06,2.8136000000000005e-06,2.5313e-06,2.7283e-06
0.52,3.49978e-08,1.0162e-05,3.4168000000000005e-06,3.0469000000000004e-06,3.3034000000000004e-06
0.56,-2.0018e-08,1.1828e-05,4.304100000000001e-06,3.809500000000001e-06,4.0296e-06
0.6,6.231999999999998e-09,1.4024e-05,5.824600000000001e-06,5.0208e-06,5.306500000000001e-06
0.64,3.886199999999999e-09,1.6826e-05,8.529e-06,7.173400000000001e-06,7.639800000000001e-06
0.68,-1.1602e-08,2.022e-05,1.2726e-05,1.0999300000000002e-05,1.127e-05
0.72,9.849199999999997e-09,2.4148e-05,1.9134e-05,1.6314e-05,1.735e-05
0.76,-6.912199999999999e-09,2.848e-05,2.5146e-05,2.3108e-05,2.4216e-05
0.8,1.84132e-08,3.3242e-05,2.9282e-05,2.7838e-05,2.895e-05
0.84,-1.4176e-08,3.8444e-05,3.3028e-05,3.1568e-05,3.275e-05
0.88,1.38572e-08,4.413e-05,3.7058e-05,3.5178e-05,3.6684e-05
0.92,-3.79628e-08,5.0866e-05,4.2148e-05,3.9248e-05,4.1334e-05
0.96,3.29792e-08,5.8812000000000005e-05,4.8958e-05,4.3996e-05,4.7448e-05
1.0,-3.89438e-08,6.8964e-05,5.8124e-05,4.9648e-05,5.577e-05
1.04,5.328759999999999e-08,8.2552e-05,7.008e-05,5.6824e-05,6.708e-05
1.08,-5.25248e-08,0.000100794,8.4908e-05,6.6072e-05,8.209000000000002e-05
1.12,5.35464e-08,0.00011856,0.000102226,7.9134e-05,0.000101054
1.16,-5.83578e-08,0.0001515,0.00012132,9.891400000000002e-05,0.00012374
1.2,5.8257e-08,0.00019378,0.00014372,0.00013096,0.00015202
1.24,-5.295179999999999e-08,0.0002472,0.0001682,0.00018456,0.0001852
1.28,4.43642e-08,0.0003132,0.00019854,0.00027072,0.00022552
1.32,-3.03372e-08,0.00039402,0.00023724,0.00039934,0.0002826
1.36,-2.43268e-08,0.00048984,0.00030022,0.00057264,0.0003561
1.4,4.07652e-08,0.00060334,0.00039618,0.00079082,0.00045444
1.44,-5.09106e-08,0.00073392,0.00050948,0.00105172,0.0005827
1.48,5.4778e-08,0.00088146,0.00064928,0.0013544,0.00073976
1.52,-5.81314e-08,0.00104834,0.00081058,0.0016964,0.00091582
1.56,5.950099999999999e-08,0.0012384,0.00100686,0.0020784,0.00111782
1.6,-5.59246e-08,0.0014304,0.0012436,0.0025,0.0013474
1.64,5.38192e-08,0.0016332,0.0014902,0.0029618,0.0016052
1.68,-5.38572e-08,0.001845,0.0017696,0.003462,0.0018748
1.72,5.47926e-08,0.0020662,0.0020758,0.004003,0.0021642
1.76,-5.473999999999999e-08,0.0022912,0.0024036,0.0045816,0.0025194
1.8,5.49208e-08,0.0025196,0.0027638,0.0051988,0.002881
1.84,-4.20532e-08,0.0027448,0.0031604,0.0058528,0.003257
1.88,4.50772e-08,0.00299,0.0035884,0.0065404,0.0036232
1.92,-3.8829e-08,0.0032416,0.0040246,0.0072618,0.0040414
1.96,1.87994e-08,0.0035032,0.0045608,0.0080176,0.0044552
2.0,-2.22322e-08,0.0037752,0.0051248,0.008807,0.004928
