VNN,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.098088,-0.039962,-0.1,-0.074438,-0.050862
-1.96,-0.096708,-0.0391,-0.1,-0.074622,-0.05119
-1.92,-0.096004,-0.038508,-0.100002,-0.073144,-0.050418
-1.88,-0.094668,-0.037848,-0.098116,-0.072244,-0.049774
-1.84,-0.09341,-0.03708,-0.096116,-0.071286,-0.049026
-1.8,-0.091378,-0.036412,-0.094248,-0.069458,-0.04799
-1.76,-0.089786,-0.035794,-0.092336,-0.068786,-0.046972
-1.72,-0.08826,-0.035108,-0.090434,-0.067824,-0.045968
-1.68,-0.086788,-0.034426,-0.088268,-0.066322,-0.044922
-1.64,-0.08536,-0.03373,-0.086392,-0.064226,-0.043896
-1.6,-0.08385,-0.03304,-0.083476,-0.062472,-0.042846
-1.56,-0.082478,-0.032346,-0.081562,-0.060938,-0.04207
-1.52,-0.080638,-0.031656,-0.079348,-0.05937,-0.041162
-1.48,-0.078904,-0.030956,-0.076676,-0.057778,-0.040164
-1.44,-0.077354,-0.03027,-0.07416,-0.05616,-0.03909
-1.4,-0.075852,-0.029578,-0.07166,-0.05454,-0.037976
-1.36,-0.074214,-0.028888,-0.069586,-0.052908,-0.036846
-1.32,-0.07263,-0.02821,-0.067492,-0.05127,-0.03569
-1.28,-0.071042,-0.027746,-0.065396,-0.049628,-0.034526
-1.24,-0.069522,-0.027056,-0.063274,-0.047992,-0.033346
-1.2,-0.067902,-0.026364,-0.061336,-0.046362,-0.032172
-1.16,-0.06634,-0.025678,-0.059212,-0.044732,-0.030996
-1.12,-0.064714,-0.024994,-0.057086,-0.043086,-0.029808
-1.08,-0.063138,-0.024316,-0.054962,-0.041452,-0.028604
-1.04,-0.06153,-0.023632,-0.052856,-0.03982,-0.027404
-1.0,-0.060002,-0.022952,-0.050764,-0.038182,-0.026198
-0.96,-0.058422,-0.022272,-0.0487,-0.036554,-0.024984
-0.92,-0.056824,-0.0216,-0.046658,-0.034922,-0.023762
-0.88,-0.055236,-0.020934,-0.04462,-0.033294,-0.022544
-0.84,-0.053672,-0.020266,-0.042632,-0.031672,-0.021324
-0.8,-0.052112,-0.019596,-0.040494,-0.030054,-0.020096
-0.76,-0.050576,-0.01893,-0.038564,-0.028442,-0.018878
-0.72,-0.049062,-0.018266,-0.036656,-0.026838,-0.017658
-0.68,-0.047534,-0.017608,-0.034776,-0.02524,-0.016446
-0.64,-0.046034,-0.016938,-0.032756,-0.02366,-0.015236
-0.6,-0.044552,-0.016278,-0.030922,-0.022096,-0.01404
-0.56,-0.043088,-0.015602,-0.029118,-0.020556,-0.01286
-0.52,-0.041664,-0.01492,-0.02733,-0.019032,-0.01169
-0.48,-0.040272,-0.014224,-0.025574,-0.017546,-0.010542
-0.44,-0.038908,-0.01349,-0.023844,-0.016098,-0.0094268
-0.4,-0.03764,-0.01269,-0.022148,-0.014698,-0.0083346
-0.36,-0.036408,-0.011786,-0.020474,-0.013352,-0.0072728
-0.32,-0.035234,-0.010848,-0.018844,-0.012084,-0.0062396
-0.28,-0.034128,-0.0098706,-0.017248,-0.010908,-0.0052538
-0.24,-0.03305,-0.0089456,-0.015706,-0.0098552,-0.004309
-0.2,-0.032002,-0.0080976,-0.014224,-0.0089486,-0.003416
-0.16,-0.030964,-0.0073064,-0.0128,-0.0082154,-0.002576
-0.12,-0.030002,-0.0065718,-0.011454,-0.0076582,-0.001807
-0.08,-0.029034,-0.0058864,-0.010186,-0.0072364,-0.0011288
-0.04,-0.02808,-0.0052538,-0.0089946,-0.006892,-0.0005891
0.0,-0.02713,-0.004671,-0.0077272,-0.0065848,-0.00023998
0.04,-0.026172,-0.0041398,-0.0058082,-0.0062934,-8.3278e-05
0.08,-0.025174,-0.0036624,-0.005133,-0.006011,-3.395e-05
0.12,-0.024232,-0.0032418,-0.004718,-0.0057344,-1.9932e-05
0.16,-0.023274,-0.0028804,-0.004315,-0.005462,-1.5064e-05
0.2,-0.022324,-0.002576,-0.0039234,-0.0051932,-1.0922e-05
0.24,-0.021352,-0.002325,-0.003545,-0.004926,-2.8231e-06
0.28,-0.020404,-0.0021234,-0.0031808,-0.004663,1.3666000000000002e-06
0.32,-0.019444,-0.001962,-0.0028328,-0.0044036,2.8254e-06
0.36,-0.018482,-0.0018312,-0.002502,-0.0041496,3.4646000000000003e-06
0.4,-0.017528,-0.0017234,-0.0021908,-0.003896,3.7634e-06
0.44,-0.016564,-0.0016314,-0.0019006,-0.0036434,3.9416000000000005e-06
0.48,-0.015612,-0.0015492,-0.0016336,-0.0033894,4.0578e-06
0.52,-0.014636,-0.0014728,-0.0013906,-0.0031358,4.168500000000001e-06
0.56,-0.013672,-0.0013992,-0.0011718,-0.0028896,4.311800000000001e-06
0.6,-0.012714,-0.0013272,-0.00097578,-0.0026358,5.0796000000000005e-06
0.64,-0.011758,-0.0012558,-0.0008011,-0.0023876,1.941e-05
0.68,-0.0108,-0.0011856,-0.00064674,-0.0021844,4.2612000000000005e-05
0.72,-0.009845,-0.0011156,-0.00050872,-0.0019034,7.1678e-05
0.76,-0.0088864,-0.0010462,-0.0003882,-0.0015746,0.000109164
0.8,-0.0079268,-0.0009778,-0.00028026,-0.0012072,0.00016868
0.84,-0.006968,-0.0009091,-0.000193,-0.0008306,0.00027
0.88,-0.0060106,-0.00084086,-0.00012102,-0.00054238,0.00041756
0.92,-0.00505,-0.0007731,-6.834e-05,-0.00023554,0.00060412
0.96,-0.0040924,-0.00070594,-3.983e-05,0.00031218,0.00082222
1.0,-0.0031332,-0.00063932,-2.199e-05,0.00070542,0.00107112
1.04,-0.0021734,-0.00057344,-1.2432e-05,0.00108904,0.0013534
1.08,-0.0012144,-0.00050842,-7.178500000000001e-06,0.0016026,0.0016728
1.12,-0.00025696,-0.0004448,-4.0666e-06,0.0020588,0.0020282
1.16,0.000702,-0.0003822,-1.9417000000000004e-06,0.0024722,0.002402
1.2,0.0016622,-0.0003213,-2.5508e-07,0.0029362,0.002784
1.24,0.0026218,-0.0002624,1.2726e-06,0.0033636,0.003153
1.28,0.0035776,-0.00020608,2.7995000000000005e-06,0.0038834,0.0034916
1.32,0.0044916,-0.00015242,4.4940000000000005e-06,0.00432,0.0038442
1.36,0.005453,-0.00010252,6.446200000000001e-06,0.005177,0.004187
1.4,0.0064086,-5.9732e-05,8.699900000000001e-06,0.005771,0.004537
1.44,0.0073536,-1.9996e-05,1.1308e-05,0.0059414,0.0048918
1.48,0.0082958,1.1156e-05,1.2512e-05,0.0074124,0.0052538
1.52,0.009254,3.4166000000000005e-05,1.296e-05,0.0080264,0.0056342
1.56,0.0102034,4.9098e-05,2.3728e-05,0.0086546,0.0060608
1.6,0.01116,5.8146e-05,2.7414e-05,0.0092924,0.0065874
1.64,0.012106,6.621200000000001e-05,2.5204e-05,0.0099326,0.0072354
1.68,0.013066,7.3806e-05,3.2062e-05,0.0106186,0.0079646
1.72,0.014016,8.7822e-05,5.0042e-05,0.0113684,0.0087392
1.76,0.014962,9.4014e-05,9.4452e-05,0.012028,0.0095444
1.8,0.015908,0.00016952,0.00021806,0.012784,0.0103614
1.84,0.016866,0.00032366,0.00051536,0.013426,0.0111842
1.88,0.017816,0.00052242,0.00099266,0.014078,0.012022
1.92,0.018768,0.00073912,0.0015888,0.014802,0.012858
1.96,0.01971,0.00096636,0.0022574,0.015546,0.013692
2.0,0.02066,0.0011918,0.00297,0.016388,0.014526
